id,fullName,triCode,typeDescKey,next_event,prob
7,Buffalo Sabres,BUF,lost-faceoff,lost-faceoff,0.01696444087685471
7,Buffalo Sabres,BUF,lost-faceoff,missed-shot,0.08490495775440454
7,Buffalo Sabres,BUF,lost-faceoff,penalty,0.03455780736670501
7,Buffalo Sabres,BUF,lost-faceoff,shot-on-goal,0.17874727948295696
7,Buffalo Sabres,BUF,lost-faceoff,stoppage,0.18933971085972476
7,Buffalo Sabres,BUF,lost-faceoff,takeaway,0.04758318782532418
7,Buffalo Sabres,BUF,lost-faceoff,won-faceoff,0.016136907175544724
7,Buffalo Sabres,BUF,missed-shot,blocked-shot,0.14555605403519264
7,Buffalo Sabres,BUF,missed-shot,giveaway,0.09221873286476248
7,Buffalo Sabres,BUF,missed-shot,goal,0.02331223102869581
7,Buffalo Sabres,BUF,missed-shot,hit,0.1317647840752372
7,Buffalo Sabres,BUF,missed-shot,lost-faceoff,0.012461990927670604
7,Buffalo Sabres,BUF,missed-shot,missed-shot,0.15652260605154278
7,Buffalo Sabres,BUF,missed-shot,penalty,0.022730671452071183
7,Buffalo Sabres,BUF,missed-shot,shot-on-goal,0.22830367379492547
7,Buffalo Sabres,BUF,missed-shot,stoppage,0.15472807935795824
7,Buffalo Sabres,BUF,missed-shot,takeaway,0.01993918548427297
7,Buffalo Sabres,BUF,missed-shot,won-faceoff,0.012461990927670604
7,Buffalo Sabres,BUF,shot-on-goal,blocked-shot,0.11041111904916542
7,Buffalo Sabres,BUF,shot-on-goal,giveaway,0.06494771708774437
7,Buffalo Sabres,BUF,shot-on-goal,goal,0.034335693100387525
7,Buffalo Sabres,BUF,shot-on-goal,hit,0.10961009720508323
7,Buffalo Sabres,BUF,shot-on-goal,lost-faceoff,0.016236929271936092
7,Buffalo Sabres,BUF,shot-on-goal,missed-shot,0.12405013963759173
7,Buffalo Sabres,BUF,shot-on-goal,penalty,0.02338117815158797
7,Buffalo Sabres,BUF,shot-on-goal,shot-on-goal,0.21108008053516916
7,Buffalo Sabres,BUF,shot-on-goal,stoppage,0.2778030352233119
7,Buffalo Sabres,BUF,shot-on-goal,takeaway,0.020566777077785713
7,Buffalo Sabres,BUF,shot-on-goal,won-faceoff,0.007577233660236843
7,Buffalo Sabres,BUF,takeaway,blocked-shot,0.1013312139876813
7,Buffalo Sabres,BUF,takeaway,giveaway,0.14653288297238226
7,Buffalo Sabres,BUF,takeaway,goal,0.03636002384263859
7,Buffalo Sabres,BUF,takeaway,hit,0.13938009139678123
7,Buffalo Sabres,BUF,takeaway,lost-faceoff,0.007450824557917743
7,Buffalo Sabres,BUF,takeaway,missed-shot,0.13411484204251936
7,Buffalo Sabres,BUF,takeaway,penalty,0.025034770514603618
7,Buffalo Sabres,BUF,takeaway,shot-on-goal,0.24438704549970197
7,Buffalo Sabres,BUF,takeaway,stoppage,0.14305583151202067
7,Buffalo Sabres,BUF,takeaway,takeaway,0.01986886548778065
7,Buffalo Sabres,BUF,takeaway,won-faceoff,0.002483608185972581
7,Buffalo Sabres,BUF,won-faceoff,blocked-shot,0.13899440083284093
7,Buffalo Sabres,BUF,won-faceoff,giveaway,0.10879453776389708
7,Buffalo Sabres,BUF,won-faceoff,goal,0.02402858670268141
7,Buffalo Sabres,BUF,won-faceoff,hit,0.14932050308094874
7,Buffalo Sabres,BUF,won-faceoff,lost-faceoff,0.014537201166727628
7,Buffalo Sabres,BUF,won-faceoff,missed-shot,0.1440589741425396
7,Buffalo Sabres,BUF,won-faceoff,penalty,0.03241326918207141
7,Buffalo Sabres,BUF,won-faceoff,shot-on-goal,0.20764750569764495
7,Buffalo Sabres,BUF,won-faceoff,stoppage,0.13565553398422478
7,Buffalo Sabres,BUF,won-faceoff,takeaway,0.029074402333455256
7,Buffalo Sabres,BUF,won-faceoff,won-faceoff,0.015475085112968119
7,Buffalo Sabres,BUF,stoppage,won-faceoff,0.45804888791015197
7,Buffalo Sabres,BUF,stoppage,lost-faceoff,0.541951112089848
7,Buffalo Sabres,BUF,penalty,won-faceoff,0.45804888791015197
7,Buffalo Sabres,BUF,penalty,lost-faceoff,0.541951112089848
7,Buffalo Sabres,BUF,goal,won-faceoff,0.45804888791015197
7,Buffalo Sabres,BUF,goal,lost-faceoff,0.541951112089848
7,Buffalo Sabres,BUF,start-game,won-faceoff,0.45804888791015197
7,Buffalo Sabres,BUF,start-game,lost-faceoff,0.541951112089848
28,San Jose Sharks,SJS,blocked-shot,blocked-shot,0.18484588069333419
28,San Jose Sharks,SJS,blocked-shot,giveaway,0.08269420978386004
28,San Jose Sharks,SJS,blocked-shot,goal,0.02472719018046795
28,San Jose Sharks,SJS,blocked-shot,hit,0.1582540171549949
28,San Jose Sharks,SJS,blocked-shot,lost-faceoff,0.014593095844210592
28,San Jose Sharks,SJS,blocked-shot,missed-shot,0.1255006242602111
28,San Jose Sharks,SJS,blocked-shot,penalty,0.030353639355958032
28,San Jose Sharks,SJS,blocked-shot,shot-on-goal,0.19457461125614123
28,San Jose Sharks,SJS,blocked-shot,stoppage,0.15202762959479835
28,San Jose Sharks,SJS,blocked-shot,takeaway,0.020268188672514714
28,San Jose Sharks,SJS,blocked-shot,won-faceoff,0.012160913203508828
28,San Jose Sharks,SJS,giveaway,blocked-shot,0.10101954915349359
28,San Jose Sharks,SJS,giveaway,giveaway,0.1138028871636579
